crop_type,disease_type,disease_stage,crop_stage,region,is_organic_farming,temperature,humidity,rainfall,soil_ph,nitrogen,organic_pesticide,organic_application_method,organic_dosage,organic_frequency,non_organic_pesticide,non_organic_application_method,non_organic_dosage,non_organic_frequency
millet,powdery mildew,mid,fruiting,Maharashtra,1,33.4,66.1,3,6.23,57.5,Trichoderma viride,Soil drench,2.4 ml/L water,Every 10 days,Chlorpyrifos,Soil application,1.5 g/L water,Once every 12 days
wheat,leaf blight,mid,vegetative,Maharashtra,1,24.6,55.9,3,6.26,30.2,Neem oil spray,Soil drench,2.0 ml/L water,Every 10 days,Chlorpyrifos,Foliar spray,2.9 g/L water,Once every 15 days
watermelon,root rot,advanced,flowering,Punjab,1,28.2,64.5,4,6.23,48.0,Trichoderma viride,Drip irrigation,4.7 ml/L water,Every 10 days,Chlorpyrifos,Foliar spray,1.5 g/L water,Once every 13 days
lentil,downy mildew,advanced,vegetative,Punjab,1,32.4,67.2,3,6.74,46.4,Neem oil spray,Soil drench,3.1 ml/L water,Every 7 days,Confidor,Foliar spray,1.1 g/L water,Once every 10 days
tomato,leaf blight,early,vegetative,Punjab,0,32.2,78.2,2,7.03,36.0,Cow urine solution,Foliar spray,2.1 ml/L water,Every 9 days,Carbendazim,Soil application,1.6 g/L water,Once every 11 days
blackgram,root rot,mid,fruiting,Maharashtra,0,27.2,81.6,1,6.22,33.1,Trichoderma viride,Seed treatment,4.7 ml/L water,Every 10 days,Bavistin,Broadcast spraying,2.9 g/L water,Once every 11 days
grapes,root rot,advanced,flowering,Bihar,0,33.6,54.9,3,5.69,38.5,Neem oil spray,Foliar spray,3.6 ml/L water,Every 7 days,Ridomil Gold,Soil application,2.1 g/L water,Once every 20 days
blackgram,powdery mildew,mid,seedling,Bihar,1,28.7,69.2,1,5.9,41.2,Panchagavya,Soil drench,3.1 ml/L water,Every 9 days,Ridomil Gold,Broadcast spraying,1.8 g/L water,Once every 12 days
barley,stem rot,early,fruiting,Karnataka,1,30.5,76.4,3,6.89,36.0,Trichoderma viride,Seed treatment,2.0 ml/L water,Every 10 days,Tilt (propiconazole),Broadcast spraying,1.6 g/L water,Once every 17 days
mungbean,stem rot,advanced,fruiting,Karnataka,0,32.3,55.3,1,6.47,33.2,Trichoderma viride,Drip irrigation,4.1 ml/L water,Every 5 days,Confidor,Foliar spray,2.4 g/L water,Once every 10 days
lentil,leaf blight,advanced,vegetative,Maharashtra,0,33.4,85.3,2,6.72,45.5,Garlic-chilli extract,Seed treatment,2.7 ml/L water,Every 9 days,Tilt (propiconazole),Foliar spray,1.1 g/L water,Once every 16 days
coconut,powdery mildew,mid,fruiting,Tamil Nadu,0,22.9,61.6,3,6.3,48.3,Panchagavya,Seed treatment,4.3 ml/L water,Every 9 days,Chlorpyrifos,Foliar spray,1.1 g/L water,Once every 16 days
barley,powdery mildew,early,seedling,Bihar,1,26.9,62.7,2,6.64,46.3,Trichoderma viride,Foliar spray,4.3 ml/L water,Every 5 days,Ridomil Gold,Soil application,1.6 g/L water,Once every 10 days
jute,powdery mildew,early,seedling,Punjab,1,30.7,64.7,1,6.77,46.5,Fish amino acid,Seed treatment,2.3 ml/L water,Every 5 days,Bavistin,Foliar spray,2.1 g/L water,Once every 20 days
coffee,root rot,early,fruiting,Tamil Nadu,0,30.7,55.6,1,6.39,26.6,Garlic-chilli extract,Seed treatment,4.6 ml/L water,Every 8 days,Bavistin,Soil application,2.7 g/L water,Once every 14 days
grapes,stem rot,mid,seedling,Karnataka,1,29.0,58.3,0,5.93,39.4,Neem oil spray,Foliar spray,3.6 ml/L water,Every 5 days,Carbendazim,Soil application,2.2 g/L water,Once every 18 days
rice,root rot,advanced,seedling,Maharashtra,0,26.7,87.8,1,6.71,50.6,Fish amino acid,Drip irrigation,4.9 ml/L water,Every 9 days,Thiamethoxam,Foliar spray,1.8 g/L water,Once every 17 days
coffee,downy mildew,mid,vegetative,Bihar,1,26.5,70.7,4,6.09,50.1,Beauveria bassiana,Soil drench,3.0 ml/L water,Every 10 days,Thiamethoxam,Broadcast spraying,2.6 g/L water,Once every 13 days
wheat,downy mildew,early,flowering,Bihar,1,33.6,56.6,2,5.96,44.9,Cow urine solution,Drip irrigation,3.8 ml/L water,Every 5 days,Thiamethoxam,Soil application,2.7 g/L water,Once every 14 days
barley,downy mildew,mid,vegetative,Tamil Nadu,0,28.1,59.7,3,7.1,31.2,Beauveria bassiana,Soil drench,2.6 ml/L water,Every 6 days,Thiamethoxam,Foliar spray,1.0 g/L water,Once every 10 days
jute,stem rot,early,seedling,Maharashtra,0,29.4,58.8,2,6.38,37.1,Cow urine solution,Foliar spray,3.3 ml/L water,Every 10 days,Tilt (propiconazole),Soil application,3.0 g/L water,Once every 12 days
mothbeans,powdery mildew,early,fruiting,Maharashtra,0,26.3,67.5,3,6.36,36.5,Garlic-chilli extract,Seed treatment,2.8 ml/L water,Every 6 days,Thiamethoxam,Broadcast spraying,2.0 g/L water,Once every 19 days
tomato,root rot,advanced,seedling,Bihar,1,34.1,52.1,2,6.16,38.7,Neem oil spray,Soil drench,3.2 ml/L water,Every 7 days,Ridomil Gold,Soil application,1.1 g/L water,Once every 13 days
grapes,leaf blight,early,seedling,Maharashtra,0,31.5,76.8,1,6.2,44.4,Neem oil spray,Drip irrigation,4.2 ml/L water,Every 8 days,Fungicide M-45,Soil application,1.7 g/L water,Once every 12 days
orange,downy mildew,advanced,seedling,Bihar,1,29.9,74.9,3,6.91,33.6,Neem oil spray,Drip irrigation,3.4 ml/L water,Every 6 days,Tilt (propiconazole),Foliar spray,1.4 g/L water,Once every 20 days
onion,leaf blight,advanced,seedling,Tamil Nadu,0,30.4,66.3,0,6.28,45.0,Cow dung decoction,Seed treatment,4.2 ml/L water,Every 10 days,Carbendazim,Soil application,1.5 g/L water,Once every 11 days
grapes,leaf blight,early,seedling,Maharashtra,1,32.7,59.0,1,6.15,33.5,Garlic-chilli extract,Drip irrigation,2.0 ml/L water,Every 6 days,Fungicide M-45,Soil application,2.8 g/L water,Once every 15 days
coconut,powdery mildew,early,fruiting,Bihar,1,33.0,88.0,5,6.25,26.9,Garlic-chilli extract,Foliar spray,3.4 ml/L water,Every 5 days,Chlorpyrifos,Soil application,1.5 g/L water,Once every 14 days
muskmelon,downy mildew,advanced,fruiting,Maharashtra,0,32.5,74.5,6,6.71,48.5,Trichoderma viride,Soil drench,3.0 ml/L water,Every 8 days,Thiamethoxam,Broadcast spraying,2.7 g/L water,Once every 17 days
watermelon,powdery mildew,mid,seedling,Tamil Nadu,0,32.1,44.2,0,6.22,38.4,Cow dung decoction,Seed treatment,2.7 ml/L water,Every 7 days,Thiamethoxam,Soil application,2.3 g/L water,Once every 13 days
watermelon,root rot,advanced,vegetative,Karnataka,0,31.6,68.1,1,6.58,48.6,Garlic-chilli extract,Seed treatment,2.1 ml/L water,Every 5 days,Fungicide M-45,Foliar spray,2.0 g/L water,Once every 18 days
maize,downy mildew,mid,vegetative,Karnataka,0,34.3,85.1,1,6.46,38.6,Cow urine solution,Drip irrigation,4.7 ml/L water,Every 9 days,Bavistin,Foliar spray,1.3 g/L water,Once every 17 days
kidneybeans,downy mildew,early,flowering,Tamil Nadu,1,25.7,73.4,1,6.63,30.4,Beauveria bassiana,Foliar spray,3.8 ml/L water,Every 7 days,Confidor,Broadcast spraying,2.7 g/L water,Once every 20 days
tomato,downy mildew,mid,vegetative,Punjab,0,29.2,72.4,0,5.79,56.2,Cow dung decoction,Seed treatment,4.6 ml/L water,Every 8 days,Bavistin,Soil application,2.8 g/L water,Once every 20 days
mothbeans,downy mildew,advanced,vegetative,Karnataka,1,30.1,74.9,3,6.61,40.5,Garlic-chilli extract,Drip irrigation,4.0 ml/L water,Every 6 days,Fungicide M-45,Broadcast spraying,1.5 g/L water,Once every 20 days
coconut,root rot,mid,seedling,Punjab,0,33.1,65.0,2,6.12,47.2,Cow dung decoction,Seed treatment,2.7 ml/L water,Every 8 days,Thiamethoxam,Soil application,1.2 g/L water,Once every 10 days
mungbean,root rot,advanced,flowering,Punjab,1,28.6,79.3,2,6.72,43.6,Beauveria bassiana,Seed treatment,3.6 ml/L water,Every 6 days,Thiamethoxam,Foliar spray,2.4 g/L water,Once every 11 days
lentil,powdery mildew,early,flowering,Punjab,0,29.8,53.7,5,6.31,34.7,Trichoderma viride,Drip irrigation,4.8 ml/L water,Every 10 days,Thiamethoxam,Broadcast spraying,1.4 g/L water,Once every 19 days
jute,root rot,early,vegetative,Maharashtra,1,27.1,65.1,2,6.66,31.4,Fish amino acid,Foliar spray,2.7 ml/L water,Every 5 days,Bavistin,Foliar spray,1.7 g/L water,Once every 14 days
sugarcane,downy mildew,mid,vegetative,Tamil Nadu,1,28.0,72.9,1,6.25,35.4,Trichoderma viride,Seed treatment,2.4 ml/L water,Every 6 days,Tilt (propiconazole),Broadcast spraying,1.7 g/L water,Once every 15 days
maize,stem rot,mid,vegetative,Bihar,1,29.9,56.9,1,6.72,33.9,Neem oil spray,Soil drench,2.9 ml/L water,Every 6 days,Carbendazim,Foliar spray,1.8 g/L water,Once every 10 days
mothbeans,powdery mildew,mid,flowering,Maharashtra,0,27.5,76.4,1,5.9,48.9,Neem oil spray,Foliar spray,4.7 ml/L water,Every 6 days,Confidor,Foliar spray,1.1 g/L water,Once every 17 days
jute,downy mildew,early,flowering,Tamil Nadu,1,34.1,64.8,3,6.91,40.0,Trichoderma viride,Foliar spray,2.2 ml/L water,Every 10 days,Carbendazim,Soil application,1.6 g/L water,Once every 19 days
kidneybeans,root rot,mid,seedling,Tamil Nadu,0,32.1,56.2,0,6.55,43.6,Cow urine solution,Foliar spray,3.6 ml/L water,Every 9 days,Thiamethoxam,Broadcast spraying,1.4 g/L water,Once every 14 days
rice,root rot,early,fruiting,Maharashtra,0,29.5,57.3,4,6.21,43.5,Trichoderma viride,Drip irrigation,4.9 ml/L water,Every 7 days,Tilt (propiconazole),Foliar spray,2.3 g/L water,Once every 15 days
watermelon,powdery mildew,advanced,flowering,Punjab,0,29.3,49.0,1,6.91,29.5,Fish amino acid,Soil drench,3.0 ml/L water,Every 7 days,Thiamethoxam,Foliar spray,1.6 g/L water,Once every 16 days
potato,downy mildew,early,flowering,Tamil Nadu,0,33.1,69.2,4,7.06,51.8,Garlic-chilli extract,Drip irrigation,2.9 ml/L water,Every 6 days,Confidor,Soil application,2.3 g/L water,Once every 14 days
onion,leaf blight,early,vegetative,Bihar,1,32.4,74.5,3,6.48,43.9,Cow dung decoction,Soil drench,2.2 ml/L water,Every 8 days,Fungicide M-45,Soil application,1.9 g/L water,Once every 12 days
grapes,root rot,advanced,seedling,Karnataka,1,30.4,57.9,2,6.36,45.3,Fish amino acid,Drip irrigation,4.6 ml/L water,Every 8 days,Bavistin,Broadcast spraying,1.4 g/L water,Once every 10 days
sugarcane,stem rot,early,fruiting,Karnataka,0,31.7,64.6,1,6.5,47.1,Panchagavya,Foliar spray,3.7 ml/L water,Every 10 days,Tilt (propiconazole),Broadcast spraying,1.0 g/L water,Once every 19 days
orange,root rot,early,fruiting,Punjab,0,27.9,62.2,3,6.23,50.5,Panchagavya,Seed treatment,4.4 ml/L water,Every 5 days,Fungicide M-45,Foliar spray,1.6 g/L water,Once every 13 days
pomegranate,stem rot,early,fruiting,Punjab,1,28.9,67.2,2,6.3,38.7,Trichoderma viride,Seed treatment,3.5 ml/L water,Every 7 days,Carbendazim,Broadcast spraying,1.3 g/L water,Once every 10 days
potato,downy mildew,mid,flowering,Bihar,0,32.5,64.9,1,6.22,35.3,Neem oil spray,Drip irrigation,2.2 ml/L water,Every 6 days,Fungicide M-45,Soil application,1.9 g/L water,Once every 14 days
onion,stem rot,advanced,vegetative,Karnataka,1,29.2,70.9,3,6.18,30.9,Trichoderma viride,Foliar spray,3.3 ml/L water,Every 8 days,Thiamethoxam,Broadcast spraying,2.8 g/L water,Once every 20 days
chickpea,root rot,advanced,seedling,Punjab,1,34.1,62.6,2,6.77,45.2,Trichoderma viride,Soil drench,3.6 ml/L water,Every 10 days,Thiamethoxam,Soil application,2.6 g/L water,Once every 17 days
orange,stem rot,mid,seedling,Punjab,0,30.1,76.8,2,6.57,38.0,Cow dung decoction,Soil drench,4.2 ml/L water,Every 7 days,Ridomil Gold,Soil application,1.5 g/L water,Once every 18 days
onion,powdery mildew,early,vegetative,Tamil Nadu,0,34.6,46.0,1,7.08,55.0,Panchagavya,Soil drench,4.1 ml/L water,Every 7 days,Bavistin,Soil application,2.1 g/L water,Once every 14 days
maize,root rot,mid,flowering,Bihar,0,28.8,73.9,2,5.74,30.7,Beauveria bassiana,Seed treatment,4.3 ml/L water,Every 10 days,Thiamethoxam,Soil application,2.0 g/L water,Once every 16 days
orange,root rot,early,flowering,Bihar,0,31.4,60.6,1,6.47,47.5,Trichoderma viride,Seed treatment,3.9 ml/L water,Every 7 days,Thiamethoxam,Foliar spray,2.8 g/L water,Once every 18 days
pomegranate,leaf blight,advanced,vegetative,Karnataka,1,31.4,69.2,3,6.87,50.0,Garlic-chilli extract,Seed treatment,4.6 ml/L water,Every 10 days,Fungicide M-45,Soil application,1.8 g/L water,Once every 20 days
rice,powdery mildew,mid,flowering,Karnataka,0,28.2,35.0,2,6.68,48.9,Trichoderma viride,Soil drench,3.8 ml/L water,Every 10 days,Tilt (propiconazole),Soil application,2.7 g/L water,Once every 17 days
coffee,powdery mildew,early,vegetative,Karnataka,0,28.8,55.8,1,7.14,35.3,Neem oil spray,Drip irrigation,4.1 ml/L water,Every 8 days,Carbendazim,Foliar spray,2.2 g/L water,Once every 19 days
watermelon,root rot,advanced,vegetative,Karnataka,0,29.8,66.4,4,6.43,41.4,Trichoderma viride,Soil drench,2.2 ml/L water,Every 5 days,Thiamethoxam,Foliar spray,2.3 g/L water,Once every 16 days
grapes,powdery mildew,advanced,seedling,Punjab,0,28.5,61.3,4,6.35,46.3,Panchagavya,Foliar spray,4.3 ml/L water,Every 6 days,Carbendazim,Broadcast spraying,2.2 g/L water,Once every 17 days
blackgram,root rot,early,vegetative,Bihar,1,27.5,56.2,1,6.08,43.0,Neem oil spray,Foliar spray,2.3 ml/L water,Every 5 days,Thiamethoxam,Foliar spray,2.0 g/L water,Once every 12 days
blackgram,downy mildew,early,vegetative,Punjab,0,27.2,68.5,1,6.53,47.0,Trichoderma viride,Drip irrigation,4.1 ml/L water,Every 8 days,Carbendazim,Broadcast spraying,2.4 g/L water,Once every 15 days
mungbean,leaf blight,advanced,seedling,Karnataka,0,26.9,75.6,2,6.6,39.9,Beauveria bassiana,Foliar spray,4.9 ml/L water,Every 5 days,Chlorpyrifos,Broadcast spraying,2.6 g/L water,Once every 19 days
blackgram,stem rot,mid,seedling,Maharashtra,0,27.9,62.1,4,6.35,53.5,Cow urine solution,Soil drench,4.3 ml/L water,Every 8 days,Tilt (propiconazole),Broadcast spraying,2.4 g/L water,Once every 10 days
apple,stem rot,early,flowering,Karnataka,0,28.4,69.6,1,6.13,41.8,Neem oil spray,Soil drench,2.6 ml/L water,Every 9 days,Confidor,Soil application,2.5 g/L water,Once every 16 days
millet,downy mildew,advanced,flowering,Maharashtra,1,30.2,70.5,4,6.32,42.5,Garlic-chilli extract,Soil drench,3.8 ml/L water,Every 7 days,Chlorpyrifos,Soil application,2.8 g/L water,Once every 17 days
mango,stem rot,early,fruiting,Bihar,1,31.2,68.0,2,5.93,52.2,Fish amino acid,Drip irrigation,3.7 ml/L water,Every 10 days,Ridomil Gold,Soil application,2.9 g/L water,Once every 14 days
mothbeans,leaf blight,mid,flowering,Tamil Nadu,1,32.7,64.5,3,6.55,23.6,Cow urine solution,Seed treatment,4.9 ml/L water,Every 9 days,Thiamethoxam,Broadcast spraying,1.5 g/L water,Once every 19 days
onion,downy mildew,advanced,flowering,Tamil Nadu,0,31.0,51.5,4,5.98,38.1,Garlic-chilli extract,Seed treatment,2.0 ml/L water,Every 6 days,Fungicide M-45,Broadcast spraying,1.7 g/L water,Once every 10 days
mothbeans,leaf blight,mid,seedling,Punjab,1,26.4,85.8,1,6.64,38.0,Panchagavya,Foliar spray,3.5 ml/L water,Every 8 days,Carbendazim,Soil application,2.3 g/L water,Once every 16 days
pomegranate,root rot,advanced,flowering,Punjab,1,36.4,68.1,3,6.43,41.9,Garlic-chilli extract,Drip irrigation,4.9 ml/L water,Every 9 days,Tilt (propiconazole),Soil application,2.5 g/L water,Once every 17 days
coconut,root rot,mid,vegetative,Bihar,0,27.5,58.8,1,6.3,46.2,Beauveria bassiana,Soil drench,2.9 ml/L water,Every 6 days,Bavistin,Broadcast spraying,1.9 g/L water,Once every 11 days
blackgram,root rot,advanced,vegetative,Bihar,0,27.4,55.3,3,6.76,30.5,Cow urine solution,Seed treatment,4.3 ml/L water,Every 7 days,Fungicide M-45,Foliar spray,2.1 g/L water,Once every 10 days
sugarcane,downy mildew,early,seedling,Maharashtra,0,25.4,77.2,1,6.09,46.6,Neem oil spray,Seed treatment,2.2 ml/L water,Every 8 days,Chlorpyrifos,Broadcast spraying,1.1 g/L water,Once every 13 days
orange,downy mildew,early,vegetative,Karnataka,0,22.9,70.7,3,6.73,47.6,Garlic-chilli extract,Foliar spray,3.6 ml/L water,Every 9 days,Ridomil Gold,Foliar spray,2.2 g/L water,Once every 13 days
jute,root rot,mid,vegetative,Punjab,0,31.4,73.3,3,6.66,32.4,Panchagavya,Soil drench,3.0 ml/L water,Every 6 days,Fungicide M-45,Foliar spray,1.6 g/L water,Once every 20 days
wheat,powdery mildew,mid,vegetative,Maharashtra,1,29.2,64.0,1,6.3,30.8,Fish amino acid,Drip irrigation,2.2 ml/L water,Every 6 days,Tilt (propiconazole),Soil application,2.7 g/L water,Once every 11 days
mothbeans,root rot,advanced,fruiting,Tamil Nadu,1,32.8,68.0,3,6.59,30.8,Beauveria bassiana,Soil drench,3.7 ml/L water,Every 8 days,Carbendazim,Broadcast spraying,2.0 g/L water,Once every 11 days
mango,root rot,advanced,seedling,Bihar,0,27.6,61.9,1,6.72,40.2,Neem oil spray,Foliar spray,4.5 ml/L water,Every 8 days,Ridomil Gold,Foliar spray,2.9 g/L water,Once every 19 days
pomegranate,root rot,advanced,seedling,Punjab,0,29.3,57.9,1,6.55,55.8,Garlic-chilli extract,Foliar spray,4.0 ml/L water,Every 10 days,Fungicide M-45,Broadcast spraying,3.0 g/L water,Once every 10 days
watermelon,leaf blight,advanced,vegetative,Punjab,1,36.2,59.7,1,6.53,30.0,Cow dung decoction,Foliar spray,4.6 ml/L water,Every 9 days,Thiamethoxam,Foliar spray,2.3 g/L water,Once every 18 days
rice,downy mildew,mid,vegetative,Maharashtra,1,25.9,57.7,0,6.47,26.8,Trichoderma viride,Seed treatment,4.3 ml/L water,Every 8 days,Bavistin,Foliar spray,1.3 g/L water,Once every 15 days
potato,downy mildew,advanced,fruiting,Bihar,1,32.1,59.4,2,7.04,28.3,Cow dung decoction,Foliar spray,2.1 ml/L water,Every 5 days,Tilt (propiconazole),Broadcast spraying,2.6 g/L water,Once every 16 days
jute,downy mildew,advanced,vegetative,Maharashtra,0,26.7,52.4,5,7.04,44.3,Beauveria bassiana,Soil drench,4.8 ml/L water,Every 10 days,Chlorpyrifos,Soil application,2.3 g/L water,Once every 17 days
banana,leaf blight,mid,seedling,Bihar,0,33.8,66.6,1,6.91,46.4,Cow dung decoction,Seed treatment,3.7 ml/L water,Every 7 days,Thiamethoxam,Broadcast spraying,2.1 g/L water,Once every 16 days
orange,downy mildew,advanced,flowering,Maharashtra,1,32.2,74.9,3,6.37,44.0,Cow dung decoction,Soil drench,4.6 ml/L water,Every 8 days,Chlorpyrifos,Foliar spray,1.6 g/L water,Once every 20 days
tomato,stem rot,advanced,seedling,Karnataka,1,24.7,35.4,2,6.22,54.1,Garlic-chilli extract,Foliar spray,3.8 ml/L water,Every 8 days,Tilt (propiconazole),Soil application,2.3 g/L water,Once every 14 days
barley,leaf blight,early,fruiting,Tamil Nadu,1,32.7,50.1,0,6.54,51.7,Fish amino acid,Seed treatment,3.3 ml/L water,Every 10 days,Thiamethoxam,Broadcast spraying,2.4 g/L water,Once every 11 days
tomato,downy mildew,mid,seedling,Punjab,1,28.8,51.7,0,6.97,48.6,Cow dung decoction,Drip irrigation,4.6 ml/L water,Every 7 days,Confidor,Soil application,1.5 g/L water,Once every 10 days
mango,stem rot,early,seedling,Maharashtra,0,24.9,54.9,3,6.36,54.0,Fish amino acid,Seed treatment,3.6 ml/L water,Every 5 days,Bavistin,Foliar spray,2.2 g/L water,Once every 15 days
onion,downy mildew,advanced,fruiting,Maharashtra,1,31.9,63.1,0,6.35,30.4,Cow urine solution,Soil drench,4.4 ml/L water,Every 7 days,Chlorpyrifos,Broadcast spraying,1.8 g/L water,Once every 10 days
coconut,stem rot,advanced,seedling,Punjab,0,30.4,44.6,4,6.98,34.7,Neem oil spray,Seed treatment,4.4 ml/L water,Every 5 days,Carbendazim,Broadcast spraying,2.1 g/L water,Once every 18 days
banana,downy mildew,mid,fruiting,Bihar,0,33.5,66.4,2,6.43,44.9,Beauveria bassiana,Seed treatment,3.8 ml/L water,Every 5 days,Tilt (propiconazole),Broadcast spraying,2.0 g/L water,Once every 20 days
banana,powdery mildew,mid,seedling,Tamil Nadu,1,32.3,62.7,2,6.01,43.9,Beauveria bassiana,Drip irrigation,4.4 ml/L water,Every 8 days,Bavistin,Foliar spray,2.9 g/L water,Once every 13 days
onion,root rot,advanced,flowering,Punjab,1,27.7,51.9,3,6.44,48.8,Cow urine solution,Soil drench,4.1 ml/L water,Every 7 days,Ridomil Gold,Foliar spray,2.4 g/L water,Once every 18 days
coconut,leaf blight,early,flowering,Tamil Nadu,0,31.3,64.8,5,5.97,41.0,Cow dung decoction,Drip irrigation,2.5 ml/L water,Every 7 days,Ridomil Gold,Foliar spray,2.5 g/L water,Once every 19 days
papaya,downy mildew,mid,flowering,Maharashtra,1,30.5,53.5,1,6.41,41.7,Neem oil spray,Drip irrigation,3.2 ml/L water,Every 8 days,Bavistin,Soil application,3.0 g/L water,Once every 11 days
onion,powdery mildew,mid,vegetative,Tamil Nadu,0,29.3,68.0,6,6.47,45.7,Garlic-chilli extract,Foliar spray,3.5 ml/L water,Every 7 days,Carbendazim,Foliar spray,1.2 g/L water,Once every 15 days
onion,root rot,advanced,fruiting,Karnataka,0,28.2,70.9,1,6.61,36.8,Garlic-chilli extract,Foliar spray,3.4 ml/L water,Every 10 days,Bavistin,Broadcast spraying,1.1 g/L water,Once every 12 days
coffee,stem rot,advanced,vegetative,Punjab,0,28.7,62.9,3,6.76,43.2,Panchagavya,Soil drench,2.7 ml/L water,Every 7 days,Fungicide M-45,Foliar spray,1.9 g/L water,Once every 10 days
grapes,downy mildew,early,seedling,Punjab,0,33.5,73.5,1,7.04,50.3,Garlic-chilli extract,Soil drench,2.2 ml/L water,Every 9 days,Ridomil Gold,Soil application,1.0 g/L water,Once every 20 days
mango,root rot,advanced,fruiting,Punjab,1,32.2,57.0,0,6.4,31.0,Trichoderma viride,Foliar spray,2.3 ml/L water,Every 5 days,Carbendazim,Foliar spray,2.2 g/L water,Once every 19 days
blackgram,stem rot,advanced,seedling,Maharashtra,0,28.8,51.8,2,6.28,61.4,Panchagavya,Soil drench,2.9 ml/L water,Every 10 days,Chlorpyrifos,Foliar spray,1.1 g/L water,Once every 17 days
millet,root rot,mid,flowering,Punjab,0,28.9,65.4,2,5.95,37.3,Beauveria bassiana,Foliar spray,3.6 ml/L water,Every 8 days,Ridomil Gold,Soil application,1.1 g/L water,Once every 12 days
banana,downy mildew,early,seedling,Tamil Nadu,0,32.6,80.3,1,6.61,46.0,Beauveria bassiana,Drip irrigation,4.2 ml/L water,Every 8 days,Chlorpyrifos,Broadcast spraying,1.5 g/L water,Once every 11 days
